amount,payment_method,bank,hour,user_success_rate,success
4648,2,2,3,0.4320420570811914,0
3167,1,0,20,0.7824920677231301,0
915,0,0,17,0.34612099752066294,0
4854,2,3,16,0.6279570349438771,0
4742,1,3,9,0.7638082850617642,0
3220,2,4,20,0.8361707199138622,0
116,0,4,8,0.6176711396070593,1
1343,1,4,14,0.7411988276474402,1
2305,1,0,11,0.677702940693443,1
2624,2,2,20,0.33661404045832477,0
1169,2,4,8,0.8199632810818924,1
3544,2,4,13,0.4206533411197625,0
2665,1,0,12,0.32226387186368893,0
1160,1,0,5,0.6158175414018605,1
2427,0,0,18,0.9059463110970571,1
3520,1,2,3,0.40558060636272003,0
401,0,4,19,0.3090002738818825,0
4376,2,1,16,0.376985465035792,0
706,2,1,18,0.5545613800321247,0
3270,1,4,2,0.7061203089939125,0
799,2,4,13,0.4351084937901248,0
1239,2,4,16,0.8613748035157993,1
290,1,4,12,0.8273079843843574,1
2400,0,2,8,0.7871045316190894,1
1080,1,1,0,0.6412288658208807,1
3075,0,3,16,0.5556518685937897,0
1284,1,1,15,0.5629106346753675,0
3427,1,1,17,0.6521493744690132,0
3494,2,0,1,0.3541202808178582,0
227,1,4,13,0.7776138240069428,1
2165,1,4,21,0.5460552808065114,0
1916,0,4,22,0.457331144557082,0
669,2,0,16,0.4948289493490472,0
1995,0,2,2,0.42620599970035244,0
2833,0,2,1,0.931097659869452,1
3963,2,3,7,0.4183262614537857,0
4821,2,2,1,0.9180482832264039,0
4114,2,2,1,0.7005703771779159,0
3001,1,4,8,0.9072156687722022,0
1786,2,1,19,0.6318449518338585,1
3109,2,2,20,0.9493436036367515,0
254,2,2,5,0.4480435205258451,0
2637,0,0,11,0.6882842269930922,1
1509,0,3,8,0.3880870833595684,0
4157,1,0,6,0.613054199641655,0
884,0,4,11,0.6989325876527896,1
3275,1,1,4,0.7239726555212205,0
4441,0,3,15,0.5558701578350953,0
2906,2,0,4,0.353434949516517,0
637,0,2,11,0.7587282499678568,1
1941,1,2,23,0.6419023023172945,1
2555,0,3,19,0.39581520664607983,0
624,2,2,8,0.9551131785842697,1
3050,1,0,22,0.9689680635284101,0
4231,2,0,6,0.8996243958819583,0
4880,2,2,18,0.890707810362318,0
4215,1,2,19,0.36906989310763927,0
2468,2,4,22,0.9953940767077973,1
3947,2,1,10,0.5802664759046121,0
4595,0,3,20,0.4141847811069794,0
2801,2,0,11,0.8684712097520548,1
1071,2,3,2,0.45801153792414045,0
1266,2,4,16,0.668322724468714,1
2874,2,0,6,0.3896112456424054,0
2082,1,4,21,0.6322520062931218,1
953,0,4,9,0.6906990453820596,1
4246,2,2,22,0.6121467719659399,0
3836,2,3,14,0.34864077732685705,0
3869,1,3,1,0.6394573214079343,0
674,2,2,12,0.6282599904085711,1
3361,1,3,3,0.4831341941034717,0
1248,0,2,17,0.9451211197602054,1
1815,0,0,23,0.5924546328887792,0
4877,2,4,22,0.9048810573374695,0
3954,2,4,0,0.3767646807434093,0
2591,2,3,1,0.523214098944327,0
2760,1,1,1,0.423431597637628,0
3224,2,4,3,0.5858875514937347,0
3151,2,2,2,0.378145681019615,0
104,0,1,16,0.6087243640919343,1
4969,2,1,13,0.5477095204137654,0
976,0,4,1,0.45632053309180365,0
1091,2,4,15,0.7495255883652205,1
4242,0,4,10,0.9656380417034824,0
4464,2,2,12,0.44497943148471075,0
4565,0,1,0,0.7982535879289152,0
735,1,3,22,0.81966662247972,1
1793,0,2,1,0.6486843614981037,1
1782,0,0,1,0.9283678422703969,1
4852,0,4,20,0.9764730462453881,0
219,2,1,4,0.5535725164376946,0
930,2,2,3,0.7557233086022312,1
3775,2,0,11,0.7635488325300785,0
1469,1,2,2,0.5825448683767531,0
840,1,2,19,0.5217537521462299,0
216,0,3,9,0.9536209387594694,1
2938,1,3,19,0.8529870845188727,1
1250,0,2,17,0.3801251961821809,0
2031,0,0,20,0.3839188501094209,0
1112,0,1,20,0.9457799381969785,1
1764,1,1,20,0.3569868355188471,0
1181,2,4,9,0.7818949423702161,1
4829,1,4,0,0.4587307728610882,0
612,0,1,5,0.3246297399191331,0
2949,0,2,10,0.3417462822560631,0
659,1,2,1,0.5614654725756933,0
3772,0,3,6,0.35431191618255525,0
4683,0,3,19,0.7176474399534178,0
3443,1,4,20,0.7530781579618528,0
4170,1,1,20,0.5614280003881342,0
4899,1,2,20,0.8200146530028454,0
1570,0,1,17,0.643029764118704,1
680,0,0,20,0.6011599523814575,1
2394,2,1,18,0.5848916621530875,0
3247,2,0,3,0.6017745411418761,0
4349,1,3,12,0.9775213549540929,0
1779,2,3,17,0.7769849420269064,1
3606,0,4,19,0.52064689301277,0
2844,2,1,23,0.8137019091438957,1
3456,0,1,12,0.5311871718260412,0
4145,1,0,18,0.3880004354492733,0
1343,1,3,16,0.6327522502189543,1
3218,0,0,0,0.8257167013968898,0
2241,2,3,5,0.5643619376211249,0
3159,1,0,18,0.9084218994331399,0
4648,1,3,19,0.5708668928614318,0
3059,2,0,0,0.5448873178547122,0
2365,2,3,7,0.9987707397042866,1
2579,0,0,16,0.6377304160930457,1
4746,2,1,20,0.8636548467994543,0
1735,2,4,21,0.8634916392419456,1
1857,2,0,14,0.9484585359694255,1
4552,0,4,17,0.3594265381152125,0
2170,0,1,6,0.4898541934987896,0
2949,1,1,15,0.8374236640825037,1
3351,0,3,6,0.6938210446789954,0
3830,1,4,16,0.6917304596481737,0
2589,2,2,3,0.41635071130916856,0
1731,1,3,11,0.49680710987975085,0
2916,1,4,12,0.6649338600017141,1
1115,2,0,3,0.49402695527223484,0
1448,1,0,20,0.4471979548891005,0
4711,0,1,0,0.36142923903899726,0
3187,0,2,0,0.4090082083463419,0
2939,0,0,6,0.838207433744381,1
435,0,4,8,0.8031454264093008,1
4692,1,4,0,0.33208357904409813,0
995,1,0,15,0.4422988597408777,0
3646,2,4,17,0.6923187427129014,0
951,1,4,21,0.5258394909657411,0
1787,1,1,14,0.8762747218756712,1
2031,1,2,5,0.8494925153635029,1
3846,2,1,1,0.9241063905706766,0
2527,0,2,8,0.6940518620535812,1
1668,1,4,3,0.5464535358663689,0
4100,2,2,12,0.7242452873294424,0
2838,2,4,22,0.3623956758218204,0
3598,2,4,21,0.3067102124190273,0
4013,0,1,10,0.31196546408424874,0
1166,1,1,12,0.5852800565539513,0
4480,2,3,10,0.4596543158721443,0
2544,0,0,18,0.4101363940600334,0
4207,2,3,7,0.7307282109327193,0
3473,2,3,6,0.9965665298292268,0
4069,2,2,15,0.42442724253087544,0
2646,2,4,2,0.6824949969497571,1
853,2,4,16,0.38380925979992564,0
2182,0,4,17,0.9539655087504972,1
2874,1,0,14,0.5042286179994095,0
2996,1,2,16,0.9148378740303649,1
4285,1,2,10,0.49815350747526377,0
875,1,4,4,0.8642367361307035,1
1725,0,3,15,0.4465669334120409,0
3169,0,0,14,0.504952601107411,0
517,0,3,9,0.4347327557825438,0
214,2,1,13,0.4849819144947589,0
716,2,2,1,0.8844060287333206,1
4074,2,2,15,0.7473227482826882,0
3367,1,3,18,0.5841157681860568,0
925,2,0,7,0.9800647189575094,1
1616,1,2,14,0.6254030689907015,1
3246,2,3,9,0.978831979881196,0
512,1,0,4,0.43761084603760214,0
828,2,3,19,0.9332468989804645,1
3448,2,0,15,0.3096755428682463,0
2908,0,4,20,0.6817122416560302,1
775,2,0,21,0.5961366760044103,0
3565,2,1,11,0.6675614918303855,0
2604,0,4,22,0.6874113823633893,1
3067,1,3,12,0.5723219478473976,0
2886,0,4,8,0.9987384928202665,1
1222,0,4,16,0.9835550332104381,1
4179,1,3,19,0.9732217636932166,0
1671,2,3,11,0.9853595331636114,1
2243,1,1,4,0.8551086791385789,1
1787,2,3,23,0.9920133353184324,1
4232,2,2,11,0.9246521576925992,0
3951,1,2,0,0.5911528459226947,0
3540,0,1,19,0.8493439758683854,0
3866,1,0,15,0.9384474915879379,0
2426,2,0,11,0.7988242515109647,1
3014,1,2,8,0.5959476383959228,0
4052,1,3,12,0.34605316941149766,0
695,2,1,16,0.8667878559424114,1
828,0,0,16,0.9669200111885292,1
1465,1,0,3,0.5537242821609485,0
4592,2,4,13,0.4063342356922577,0
798,2,2,18,0.528552687629389,0
495,1,3,6,0.7078356507247723,1
4271,0,1,2,0.5218503022975653,0
4460,1,0,0,0.7274331111374477,0
2602,0,4,11,0.9767965625712414,1
1919,0,2,14,0.7695141453153778,1
817,0,2,10,0.5538615563999352,0
2882,0,1,9,0.9550270800300744,1
3677,1,0,1,0.6959446880908007,0
243,2,1,3,0.38986067897279664,0
3240,2,1,16,0.6492867036356331,0
4591,2,4,16,0.7575455114370349,0
3038,2,2,7,0.8867780560717169,0
3736,2,3,22,0.9555337506953532,0
3322,2,2,13,0.5221912936014697,0
1267,1,2,23,0.40885865485532574,0
2716,0,4,3,0.3516800495357177,0
1162,2,3,5,0.816848221895798,1
2256,1,0,18,0.8566107769008022,1
3082,2,3,23,0.5865611888497168,0
3394,2,0,3,0.5771477850215403,0
4829,0,3,2,0.9679659221582424,0
1256,0,1,19,0.9416769275562291,1
832,0,3,5,0.4632861313419302,0
4430,2,4,22,0.8465653534248649,0
4946,2,0,6,0.735890277363058,0
1053,2,2,13,0.4079559173837479,0
2639,0,4,11,0.5497397329605922,0
3424,1,0,15,0.4242310589152377,0
3401,2,0,19,0.506609227175287,0
1642,2,2,7,0.7307108230413462,1
1291,2,1,22,0.5626858297304077,0
3093,1,4,1,0.5758416638851,0
2781,2,2,12,0.6777531048320329,1
1317,1,2,7,0.3610568971892059,0
1640,2,1,20,0.8171581028945905,1
3336,1,4,19,0.581196673389338,0
2486,2,2,15,0.6362779617416241,1
3819,0,1,3,0.9820098101982422,0
1488,0,4,15,0.5410568218227778,0
1956,0,3,19,0.7537532551817477,1
1465,0,0,5,0.5747530221070675,0
599,2,1,3,0.9259979030785745,1
1780,0,0,15,0.8927293868965276,1
610,1,3,22,0.469136990233669,0
4412,0,2,22,0.7842219988276303,0
1424,0,2,20,0.3456203971280449,0
1255,0,4,12,0.974229772670923,1
1927,2,1,4,0.5442930756099102,0
3241,0,1,14,0.8822899408093368,0
3586,1,4,7,0.522901956254117,0
1910,0,0,6,0.7429395188378104,1
3023,0,2,13,0.9885135543890322,0
2314,0,2,6,0.9137249041921411,1
4286,1,1,21,0.41225613693343516,0
813,0,1,6,0.6832419032046299,1
3702,1,4,22,0.543972247480283,0
4234,1,3,17,0.6040371961538042,0
3622,0,0,9,0.534628190453138,0
4368,1,3,17,0.5351714737368591,0
4848,2,3,13,0.6797872706436279,0
4949,0,1,9,0.4343748063862068,0
1343,0,1,6,0.6761767976633553,1
3809,1,1,6,0.4952758060388106,0
1181,1,3,6,0.5022880329692597,0
555,0,0,4,0.8171236203249359,1
994,2,1,0,0.32071552249195506,0
1484,1,2,13,0.5666620338716649,0
2058,1,0,17,0.5852740661075515,0
3172,2,2,12,0.6395770978027209,0
2096,2,0,7,0.768307717310677,1
4385,0,1,7,0.5587807479159606,0
604,2,4,9,0.4491959730145185,0
1314,0,1,16,0.919410988382416,1
1631,2,3,5,0.9867270386768483,1
3540,1,3,14,0.31401028522105295,0
923,0,0,14,0.6825267957004886,1
1028,0,3,15,0.5391916653764387,0
233,0,1,7,0.49389270277104647,0
2205,2,2,18,0.5349944736089548,0
3727,1,1,19,0.7472144294983404,0
4880,0,0,14,0.4335012071608564,0
1952,0,3,2,0.9390024981605651,1
4275,0,2,5,0.626280167457633,0
3033,0,4,7,0.5279037832045299,0
3384,1,2,15,0.8358719320833192,0
4398,2,2,14,0.31144266566533485,0
2911,1,1,12,0.6022970060166257,1
1350,0,4,19,0.548712520700861,0
3612,1,0,14,0.5367469369928141,0
1356,0,0,17,0.5359499534634082,0
3476,2,2,12,0.32188996442308715,0
3586,2,2,23,0.40648148210618784,0
3684,2,3,7,0.39931961151869005,0
1496,0,4,13,0.9920273533736654,1
3737,1,2,10,0.31551602912342824,0
3430,2,3,5,0.4169515594463987,0
2803,0,4,23,0.9819221560610878,1
570,0,0,0,0.7397796156670029,1
1453,1,3,1,0.6154669844247118,1
2883,2,4,12,0.3551326531324589,0
2931,0,3,0,0.7687628131430136,1
457,1,2,23,0.3964620913768875,0
3119,2,1,23,0.7698302855114271,0
767,1,0,3,0.9854235480400408,1
4568,1,2,23,0.6723808610318669,0
1245,0,2,22,0.44985925815186256,0
4285,0,4,1,0.7376986256157188,0
3819,0,3,20,0.659050781453898,0
2845,1,0,19,0.6731981845274522,1
639,0,2,15,0.6346748622839977,1
2879,1,4,2,0.771618401970489,1
4236,1,0,16,0.7003617536849014,0
4935,0,3,4,0.990896554218061,0
3875,2,2,7,0.8781043947296232,0
2608,2,2,11,0.4852888643977046,0
2879,2,2,22,0.8080295653334815,1
1024,1,0,11,0.45001024456931416,0
3056,1,0,0,0.8476424856569738,0
1681,1,0,0,0.4032903479841395,0
3424,0,0,14,0.6314876834830667,0
4585,1,4,16,0.8534243388142522,0
355,0,1,1,0.49607889161459573,0
4904,0,4,16,0.8859833875921641,0
1938,2,2,19,0.7509054963237803,1
2044,2,4,8,0.5782656303750511,0
109,2,3,11,0.5963916965143903,0
2971,0,0,3,0.9481940737438987,1
897,0,3,12,0.45245370000866547,0
1115,0,3,3,0.7853538306222971,1
1924,1,2,6,0.7951059440190748,1
4569,0,0,13,0.9457147852285457,0
3236,2,3,8,0.7992149881301385,0
2293,2,2,22,0.7091271926408624,1
323,0,0,0,0.931765777311405,1
4258,0,1,0,0.8803924207538787,0
4025,2,2,19,0.8017435183839583,0
4884,0,4,3,0.3228048676745221,0
4100,2,0,0,0.5614642927682529,0
1733,1,3,21,0.742322770541298,1
2252,2,3,9,0.6655753670497355,1
610,1,4,1,0.5235228285484906,0
484,0,4,20,0.40109674085684355,0
504,0,3,23,0.687097607882245,1
4713,1,0,14,0.500142303103549,0
4671,0,2,2,0.4631003428662974,0
2100,1,4,22,0.5792707589384535,0
2856,0,4,8,0.8498440032499879,1
1768,2,4,16,0.6414974516564185,1
1560,0,1,20,0.45154454734906896,0
3736,2,0,12,0.38183219959603387,0
2824,2,0,2,0.64929108464236,1
4909,1,0,3,0.8560564788955642,0
4278,0,0,3,0.7569726165577582,0
2148,1,0,10,0.4625042161002747,0
4246,0,3,6,0.6056946099826446,0
4880,2,4,10,0.8986612543408481,0
816,2,3,23,0.4243591354969872,0
4644,0,1,10,0.6724563994780279,0
4683,0,2,9,0.549362056132589,0
1923,1,4,4,0.38692582838066353,0
2181,0,1,12,0.33493274463762873,0
3519,0,3,11,0.6891099692520566,0
1674,0,2,9,0.3145242116182652,0
349,1,1,6,0.3724122816850544,0
773,0,2,18,0.5432949968132188,0
4633,2,1,18,0.3304641297490339,0
2265,1,3,18,0.5803116585163194,0
870,1,2,11,0.39125551692382365,0
4062,2,1,19,0.5449111634901077,0
4463,2,3,21,0.8538117809630477,0
2084,2,4,14,0.7384550411336606,1
1177,0,3,4,0.6117807544512563,1
335,2,3,23,0.36428331549861226,0
488,0,4,13,0.7334047615203132,1
3137,1,3,11,0.4145967567563352,0
4958,1,4,20,0.3536104407031304,0
1948,2,4,10,0.7647972122217255,1
4819,0,4,4,0.9384419284747052,0
2914,2,1,15,0.6224154057393656,1
3474,2,2,17,0.3286971374256798,0
3378,0,1,11,0.9162084021929786,0
1352,2,4,4,0.3468816362865018,0
4081,1,2,15,0.907259269891111,0
4773,2,2,11,0.5742735612560517,0
2222,0,4,22,0.5557761770361628,0
4630,0,2,1,0.6799581656195162,0
2250,1,2,5,0.9699593722109532,1
4959,0,1,22,0.9291183815601847,0
1429,0,2,20,0.629231061813337,1
1458,1,4,3,0.7870762617166729,1
2582,2,0,12,0.7063004766403886,1
4642,1,0,9,0.7854231053442171,0
2117,2,0,16,0.880529222043468,1
1431,1,4,13,0.3241456802080157,0
4444,2,0,23,0.5280318977495282,0
4361,1,1,14,0.971530375763707,0
1458,2,4,7,0.9645354159674469,1
4737,1,4,22,0.3078546229842237,0
4954,2,4,23,0.44100809094565635,0
3277,1,2,17,0.9956390296410538,0
2228,0,2,2,0.64497755312964,1
2280,2,2,16,0.7010062027767968,1
4992,1,3,23,0.41649412986571677,0
237,2,1,23,0.9260349261309706,1
3572,2,4,6,0.46188500975437896,0
2932,1,4,12,0.4327533410136756,0
3679,2,2,15,0.4596856823242297,0
3131,1,4,4,0.943735191848706,0
4264,0,4,3,0.7919926950237943,0
2693,2,0,9,0.8380174761431924,1
4400,0,4,12,0.5639254507289768,0
3918,2,3,9,0.936423910451393,0
4238,2,2,13,0.8525855666375728,0
3923,2,1,21,0.8254181537551248,0
4142,1,1,11,0.9796581985710662,0
2006,0,0,0,0.5563377815553441,0
860,2,1,20,0.7276815527571168,1
3545,1,1,19,0.9369507892840514,0
999,2,2,19,0.8536222602301666,1
4555,1,2,6,0.6943652707579304,0
3047,2,3,8,0.3533495793461392,0
1819,0,0,7,0.7569064076889712,1
380,0,1,12,0.6685888898074965,1
3366,2,3,13,0.4289263230392385,0
1987,1,0,11,0.9175771863398181,1
3366,2,1,7,0.5402740164291202,0
766,1,1,20,0.5712359254621078,0
4288,2,2,21,0.7706810841574874,0
771,1,4,17,0.6421591194288687,1
2069,0,0,15,0.36249675339540455,0
